risk_rank,txn_id,invoice,invoice_date,customer_id,country,stock_code,description,quantity,price,amount,composite_risk,risk_band,rule_flag_names,if_pct,suggested_procedure
22,TXN-00830203,578518,2011-09-13 12:36:00,16523,United Kingdom,23202,JUMBO BAG VINTAGE LEAF,100.0,20.0,2000.0,0.93618,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99236,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
23,TXN-00778902,523347,2011-08-02 11:02:00,13031,United Kingdom,35961,FOLKART ZINC HEART CHRISTMAS DEC,100.0,20.0,2000.0,0.93581,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99162,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
24,TXN-00316558,564200,2010-08-30 10:30:00,13263,United Kingdom,23330,DECORATIVE WICKER HEART MEDIUM,50.0,20.0,1000.0,0.93559,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99118,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
25,TXN-00760063,534699,2011-07-18 13:33:00,17700,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,100.0,20.0,2000.0,0.93556,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99112,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
26,TXN-00937547,568716,2011-11-08 09:58:00,17783,United Kingdom,22185,SLATE TILE NATURAL HANGING,50.0,20.0,1000.0,0.9351,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9902,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
27,TXN-00122153,545909,2010-03-15 12:23:00,15764,United Kingdom,21918,SET 12 KIDS COLOUR  CHALK STICKS,100.0,10.0,1000.0,0.93502,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99004,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
28,TXN-00700291,512714,2011-05-31 10:30:00,13608,United Kingdom,20615,BLUE SPOTTY PASSPORT COVER,50.0,20.0,1000.0,0.93403,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98806,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
29,TXN-00044405,561469,2009-12-31 10:30:00,16447,United Kingdom,84818,DANISH ROSE PHOTO FRAME,50.0,20.0,1000.0,0.93397,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98794,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
30,TXN-01025711,581403,2011-12-08 09:48:00,17644,United Kingdom,23118,PARISIENNE JEWELLERY DRAWER,124.0,7.5,930.0,0.93382,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98764,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
31,TXN-00413591,578017,2010-10-29 10:30:00,14506,United Kingdom,23321,SMALL WHITE HEART OF WICKER,50.0,20.0,1000.0,0.93367,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98734,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
32,TXN-00883207,499785,2011-10-11 17:53:00,15367,United Kingdom,21564,PINK  HEART SHAPE LOVE BUCKET,100.0,10.0,1000.0,0.93335,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9867,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
33,TXN-00284755,576619,2010-07-30 10:30:00,17231,United Kingdom,21745,GAOLERS KEYS DECORATIVE GARDEN,25.0,20.0,500.0,0.93322,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98644,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
34,TXN-00103212,555947,2010-02-28 10:30:00,17238,United Kingdom,21242,RED RETROSPOT PLATE,100.0,5.0,500.0,0.93311,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98622,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
35,TXN-00918624,515091,2011-10-31 10:34:00,17988,United Kingdom,22505,MEMO BOARD COTTAGE DESIGN,100.0,5.0,500.0,0.93291,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98582,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
36,TXN-00765912,541667,2011-07-21 16:56:00,17862,United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT,100.0,5.0,500.0,0.93187,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98374,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
37,TXN-00033403,492363,2009-12-16 08:33:00,17833,United Kingdom,21955,UNION JACK GUNS & ROSES  DOORMAT,68.0,6.75,459.0,0.93135,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, HIGH_QUANTITY, SPLIT_AMOUNT",0.9827,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
38,TXN-00953163,576062,2011-11-13 15:30:00,12867,United Kingdom,23500,KEY RING BASEBALL BOOT ASSORTED,40.0,1.25,50.0,0.92553,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.97106,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
39,TXN-00164925,505213,2010-04-21 09:52:00,15366,United Kingdom,21656,RIDGED GLASS POSY VASE,72.0,1.25,90.0,0.92516,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.97032,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
40,TXN-00222118,511269,2010-06-07 13:02:00,16984,United Kingdom,22460,EMBOSSED GLASS TEALIGHT HOLDER,48.0,1.25,60.0,0.92181,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.96362,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
41,TXN-00345169,523539,2010-09-22 14:05:00,16329,United Kingdom,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,24.0,3.75,90.0,0.91613,CRITICAL,"ROUND_NUMBER, DUPLICATE_INVOICE, ROUND_DOLLARS, SPLIT_AMOUNT",0.95226,Agree to supporting sales order and despatch note; confirm not a duplicate of a prior invoice.
42,TXN-00978640,578008,2011-11-22 12:47:00,14657,United Kingdom,22966,GINGERBREAD MAN COOKIE CUTTER,24.0,1.25,30.0,0.901339,CRITICAL,"ROUND_NUMBER, DUPLICATE_INVOICE, ROUND_DOLLARS, HIGH_QUANTITY",0.92268,Agree to supporting sales order and despatch note; confirm not a duplicate of a prior invoice.
43,TXN-00205005,509472,2010-05-24 11:11:00,18052,United Kingdom,21538,DAIRY MAID  PUDDING BOWL,1200.0,1.25,1500.0,0.87996,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99992,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
44,TXN-00285981,517731,2010-08-01 13:31:00,18102,United Kingdom,22365,DOORMAT RESPECTABLE HOUSE,300.0,4.579999923706055,1374.0,0.87995,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9999,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
45,TXN-00713894,556255,2011-06-09 17:27:00,18102,United Kingdom,48188,DOORMAT WELCOME PUPPIES,300.0,4.579999923706055,1374.0,0.87992,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99984,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
46,TXN-00268896,515944,2010-07-15 15:29:00,18102,United Kingdom,48111,DOORMAT 3 SMILEY CATS,300.0,4.579999923706055,1374.0,0.8799,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9998,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
47,TXN-00602766,497573,2011-03-04 11:57:00,18102,United Kingdom,21621,VINTAGE UNION JACK BUNTING,200.0,6.980000019073486,1396.0,0.87985,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9997,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
48,TXN-00424552,530642,2010-11-03 16:34:00,17949,United Kingdom,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,360.0,1.7999999523162842,648.0,0.87984,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99968,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
49,TXN-00045241,493613,2010-01-05 11:31:00,17949,United Kingdom,84050,PINK HEART SHAPE EGG FRYING PAN,408.0,1.25,510.0,0.87982,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99964,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
50,TXN-00625997,547708,2011-03-24 18:34:00,17450,United Kingdom,21259,VICTORIAN SEWING BOX SMALL,192.0,6.0,1152.0,0.87981,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99962,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
