country,year_month,txn_count,flagged_count,pct_flagged,mad,verdict
Belgium,2011-01,59,14,23.73,,INSUFFICIENT_DATA
Belgium,2011-02,120,34,28.33,,INSUFFICIENT_DATA
Belgium,2011-03,164,44,26.83,,INSUFFICIENT_DATA
Belgium,2011-04,119,24,20.17,,INSUFFICIENT_DATA
Belgium,2011-05,147,42,28.57,,INSUFFICIENT_DATA
Belgium,2011-06,233,72,30.9,,INSUFFICIENT_DATA
Belgium,2011-07,131,26,19.85,,INSUFFICIENT_DATA
Belgium,2011-08,197,61,30.96,,INSUFFICIENT_DATA
Belgium,2011-09,188,45,23.94,,INSUFFICIENT_DATA
Belgium,2011-10,269,72,26.77,,INSUFFICIENT_DATA
Belgium,2011-11,249,82,32.93,,INSUFFICIENT_DATA
Belgium,2011-12,96,15,15.62,,INSUFFICIENT_DATA
Bermuda,2010-03,34,12,35.29,,INSUFFICIENT_DATA
Brazil,2010-09,63,6,9.52,,INSUFFICIENT_DATA
Brazil,2011-04,32,12,37.5,,INSUFFICIENT_DATA
Canada,2010-10,51,9,17.65,,INSUFFICIENT_DATA
Canada,2010-11,27,8,29.63,,INSUFFICIENT_DATA
Canada,2011-03,10,1,10.0,,INSUFFICIENT_DATA
Canada,2011-05,1,1,100.0,,INSUFFICIENT_DATA
Canada,2011-06,57,16,28.07,,INSUFFICIENT_DATA
Canada,2011-07,78,12,15.38,,INSUFFICIENT_DATA
Canada,2011-08,5,2,40.0,,INSUFFICIENT_DATA
Channel Islands,2009-12,39,11,28.21,,INSUFFICIENT_DATA
Channel Islands,2010-01,27,6,22.22,,INSUFFICIENT_DATA
Channel Islands,2010-03,16,1,6.25,,INSUFFICIENT_DATA
Channel Islands,2010-04,52,14,26.92,,INSUFFICIENT_DATA
Channel Islands,2010-05,217,51,23.5,,INSUFFICIENT_DATA
Channel Islands,2010-06,6,6,100.0,,INSUFFICIENT_DATA
Channel Islands,2010-08,53,11,20.75,,INSUFFICIENT_DATA
Channel Islands,2010-09,202,70,34.65,,INSUFFICIENT_DATA
Channel Islands,2010-10,105,39,37.14,,INSUFFICIENT_DATA
Channel Islands,2010-11,100,27,27.0,,INSUFFICIENT_DATA
Channel Islands,2010-12,17,3,17.65,,INSUFFICIENT_DATA
Channel Islands,2011-01,33,10,30.3,,INSUFFICIENT_DATA
Channel Islands,2011-02,10,10,100.0,,INSUFFICIENT_DATA
Channel Islands,2011-03,185,34,18.38,,INSUFFICIENT_DATA
Channel Islands,2011-04,10,4,40.0,,INSUFFICIENT_DATA
Channel Islands,2011-05,34,15,44.12,,INSUFFICIENT_DATA
Channel Islands,2011-06,82,20,24.39,,INSUFFICIENT_DATA
Channel Islands,2011-08,140,28,20.0,,INSUFFICIENT_DATA
Channel Islands,2011-09,71,21,29.58,,INSUFFICIENT_DATA
Channel Islands,2011-10,102,34,33.33,,INSUFFICIENT_DATA
Channel Islands,2011-11,74,19,25.68,,INSUFFICIENT_DATA
Channel Islands,2011-12,5,3,60.0,,INSUFFICIENT_DATA
Cyprus,2009-12,194,48,24.74,,INSUFFICIENT_DATA
Cyprus,2010-01,4,0,0.0,,INSUFFICIENT_DATA
Cyprus,2010-02,50,9,18.0,,INSUFFICIENT_DATA
Cyprus,2010-03,65,28,43.08,,INSUFFICIENT_DATA
Cyprus,2010-04,49,11,22.45,,INSUFFICIENT_DATA
Cyprus,2010-05,18,3,16.67,,INSUFFICIENT_DATA
Cyprus,2010-06,21,10,47.62,,INSUFFICIENT_DATA
Cyprus,2010-09,105,18,17.14,,INSUFFICIENT_DATA
Cyprus,2010-10,31,7,22.58,,INSUFFICIENT_DATA
Cyprus,2010-11,4,3,75.0,,INSUFFICIENT_DATA
Cyprus,2010-12,84,16,19.05,,INSUFFICIENT_DATA
Cyprus,2011-01,16,7,43.75,,INSUFFICIENT_DATA
Cyprus,2011-02,157,53,33.76,,INSUFFICIENT_DATA
Cyprus,2011-03,48,19,39.58,,INSUFFICIENT_DATA
Cyprus,2011-06,48,10,20.83,,INSUFFICIENT_DATA
Cyprus,2011-09,1,1,100.0,,INSUFFICIENT_DATA
Cyprus,2011-10,161,46,28.57,,INSUFFICIENT_DATA
Cyprus,2011-11,93,6,6.45,,INSUFFICIENT_DATA
Czech Republic,2011-02,16,8,50.0,,INSUFFICIENT_DATA
Czech Republic,2011-10,11,4,36.36,,INSUFFICIENT_DATA
Denmark,2009-12,8,4,50.0,,INSUFFICIENT_DATA
Denmark,2010-01,40,22,55.0,,INSUFFICIENT_DATA
Denmark,2010-02,31,29,93.55,,INSUFFICIENT_DATA
Denmark,2010-03,25,18,72.0,,INSUFFICIENT_DATA
Denmark,2010-04,10,6,60.0,,INSUFFICIENT_DATA
Denmark,2010-06,88,32,36.36,,INSUFFICIENT_DATA
Denmark,2010-07,4,4,100.0,,INSUFFICIENT_DATA
Denmark,2010-08,75,26,34.67,,INSUFFICIENT_DATA
Denmark,2010-09,40,30,75.0,,INSUFFICIENT_DATA
Denmark,2010-10,18,4,22.22,,INSUFFICIENT_DATA
Denmark,2010-11,64,42,65.62,,INSUFFICIENT_DATA
Denmark,2010-12,20,14,70.0,,INSUFFICIENT_DATA
Denmark,2011-02,20,6,30.0,,INSUFFICIENT_DATA
Denmark,2011-03,20,18,90.0,,INSUFFICIENT_DATA
Denmark,2011-05,19,5,26.32,,INSUFFICIENT_DATA
Denmark,2011-06,107,43,40.19,,INSUFFICIENT_DATA
Denmark,2011-07,17,7,41.18,,INSUFFICIENT_DATA
Denmark,2011-08,16,1,6.25,,INSUFFICIENT_DATA
Denmark,2011-09,46,25,54.35,,INSUFFICIENT_DATA
Denmark,2011-10,23,7,30.43,,INSUFFICIENT_DATA
Denmark,2011-11,83,33,39.76,,INSUFFICIENT_DATA
Denmark,2011-12,11,2,18.18,,INSUFFICIENT_DATA
Eire,2009-12,581,170,29.26,,INSUFFICIENT_DATA
Eire,2010-01,569,245,43.06,,INSUFFICIENT_DATA
Eire,2010-02,524,181,34.54,,INSUFFICIENT_DATA
Eire,2010-03,733,201,27.42,,INSUFFICIENT_DATA
Eire,2010-04,629,201,31.96,,INSUFFICIENT_DATA
Eire,2010-05,824,219,26.58,,INSUFFICIENT_DATA
Eire,2010-06,653,228,34.92,,INSUFFICIENT_DATA
Eire,2010-07,699,240,34.33,,INSUFFICIENT_DATA
Eire,2010-08,675,205,30.37,,INSUFFICIENT_DATA
Eire,2010-09,973,318,32.68,,INSUFFICIENT_DATA
Eire,2010-10,1467,516,35.17,0.050805,NONCONFORMING
Eire,2010-11,1122,369,32.89,0.062552,NONCONFORMING
Eire,2010-12,376,116,30.85,,INSUFFICIENT_DATA
Eire,2011-01,176,79,44.89,,INSUFFICIENT_DATA
Eire,2011-02,436,138,31.65,,INSUFFICIENT_DATA
Eire,2011-03,568,155,27.29,,INSUFFICIENT_DATA
Eire,2011-04,317,78,24.61,,INSUFFICIENT_DATA
Eire,2011-05,615,208,33.82,,INSUFFICIENT_DATA
Eire,2011-06,638,195,30.56,,INSUFFICIENT_DATA
Eire,2011-07,717,262,36.54,,INSUFFICIENT_DATA
Eire,2011-08,659,206,31.26,,INSUFFICIENT_DATA
Eire,2011-09,1211,385,31.79,0.066803,NONCONFORMING
Eire,2011-10,886,257,29.01,,INSUFFICIENT_DATA
Eire,2011-11,1097,339,30.9,0.063561,NONCONFORMING
Eire,2011-12,339,101,29.79,,INSUFFICIENT_DATA
European Community,2011-04,11,1,9.09,,INSUFFICIENT_DATA
European Community,2011-06,20,5,25.0,,INSUFFICIENT_DATA
European Community,2011-07,30,12,40.0,,INSUFFICIENT_DATA
Finland,2009-12,4,4,100.0,,INSUFFICIENT_DATA
Finland,2010-01,34,8,23.53,,INSUFFICIENT_DATA
Finland,2010-04,76,16,21.05,,INSUFFICIENT_DATA
Finland,2010-05,55,14,25.45,,INSUFFICIENT_DATA
Finland,2010-06,29,10,34.48,,INSUFFICIENT_DATA
Finland,2010-07,25,9,36.0,,INSUFFICIENT_DATA
Finland,2010-09,58,8,13.79,,INSUFFICIENT_DATA
Finland,2010-10,59,17,28.81,,INSUFFICIENT_DATA
Finland,2010-11,19,3,15.79,,INSUFFICIENT_DATA
Finland,2010-12,19,15,78.95,,INSUFFICIENT_DATA
Finland,2011-01,11,9,81.82,,INSUFFICIENT_DATA
Finland,2011-02,13,5,38.46,,INSUFFICIENT_DATA
Finland,2011-03,218,53,24.31,,INSUFFICIENT_DATA
Finland,2011-04,40,15,37.5,,INSUFFICIENT_DATA
Finland,2011-06,13,4,30.77,,INSUFFICIENT_DATA
Finland,2011-07,87,25,28.74,,INSUFFICIENT_DATA
Finland,2011-08,62,13,20.97,,INSUFFICIENT_DATA
Finland,2011-09,34,13,38.24,,INSUFFICIENT_DATA
Finland,2011-10,115,24,20.87,,INSUFFICIENT_DATA
Finland,2011-11,75,28,37.33,,INSUFFICIENT_DATA
Finland,2011-12,13,9,69.23,,INSUFFICIENT_DATA
France,2009-12,287,75,26.13,,INSUFFICIENT_DATA
France,2010-01,332,97,29.22,,INSUFFICIENT_DATA
France,2010-02,408,105,25.74,,INSUFFICIENT_DATA
France,2010-03,383,102,26.63,,INSUFFICIENT_DATA
France,2010-04,250,65,26.0,,INSUFFICIENT_DATA
France,2010-05,429,147,34.27,,INSUFFICIENT_DATA
France,2010-06,445,103,23.15,,INSUFFICIENT_DATA
France,2010-07,355,85,23.94,,INSUFFICIENT_DATA
France,2010-08,217,83,38.25,,INSUFFICIENT_DATA
France,2010-09,557,147,26.39,,INSUFFICIENT_DATA
France,2010-10,683,162,23.72,,INSUFFICIENT_DATA
France,2010-11,993,229,23.06,,INSUFFICIENT_DATA
France,2010-12,441,123,27.89,,INSUFFICIENT_DATA
France,2011-01,675,193,28.59,,INSUFFICIENT_DATA
France,2011-02,422,96,22.75,,INSUFFICIENT_DATA
France,2011-03,551,154,27.95,,INSUFFICIENT_DATA
France,2011-04,227,56,24.67,,INSUFFICIENT_DATA
France,2011-05,736,214,29.08,,INSUFFICIENT_DATA
France,2011-06,599,183,30.55,,INSUFFICIENT_DATA
France,2011-07,451,122,27.05,,INSUFFICIENT_DATA
France,2011-08,576,164,28.47,,INSUFFICIENT_DATA
France,2011-09,1061,318,29.97,0.057306,NONCONFORMING
France,2011-10,904,276,30.53,,INSUFFICIENT_DATA
France,2011-11,1567,437,27.89,0.045219,NONCONFORMING
France,2011-12,332,100,30.12,,INSUFFICIENT_DATA
Germany,2009-12,387,135,34.88,,INSUFFICIENT_DATA
Germany,2010-01,570,157,27.54,,INSUFFICIENT_DATA
Germany,2010-02,464,121,26.08,,INSUFFICIENT_DATA
Germany,2010-03,595,204,34.29,,INSUFFICIENT_DATA
Germany,2010-04,774,245,31.65,,INSUFFICIENT_DATA
Germany,2010-05,356,98,27.53,,INSUFFICIENT_DATA
Germany,2010-06,604,183,30.3,,INSUFFICIENT_DATA
Germany,2010-07,850,218,25.65,,INSUFFICIENT_DATA
Germany,2010-08,419,125,29.83,,INSUFFICIENT_DATA
Germany,2010-09,698,223,31.95,,INSUFFICIENT_DATA
Germany,2010-10,853,224,26.26,,INSUFFICIENT_DATA
Germany,2010-11,955,373,39.06,,INSUFFICIENT_DATA
Germany,2010-12,525,186,35.43,,INSUFFICIENT_DATA
Germany,2011-01,798,219,27.44,,INSUFFICIENT_DATA
Germany,2011-02,305,103,33.77,,INSUFFICIENT_DATA
Germany,2011-03,586,169,28.84,,INSUFFICIENT_DATA
Germany,2011-04,445,149,33.48,,INSUFFICIENT_DATA
Germany,2011-05,782,250,31.97,,INSUFFICIENT_DATA
Germany,2011-06,665,194,29.17,,INSUFFICIENT_DATA
Germany,2011-07,761,204,26.81,,INSUFFICIENT_DATA
Germany,2011-08,811,211,26.02,,INSUFFICIENT_DATA
Germany,2011-09,782,218,27.88,,INSUFFICIENT_DATA
Germany,2011-10,1321,404,30.58,0.06129,NONCONFORMING
Germany,2011-11,1107,364,32.88,0.052112,NONCONFORMING
Germany,2011-12,323,104,32.2,,INSUFFICIENT_DATA
Greece,2009-12,41,9,21.95,,INSUFFICIENT_DATA
Greece,2010-01,101,37,36.63,,INSUFFICIENT_DATA
Greece,2010-03,23,4,17.39,,INSUFFICIENT_DATA
Greece,2010-04,16,2,12.5,,INSUFFICIENT_DATA
Greece,2010-05,53,27,50.94,,INSUFFICIENT_DATA
Greece,2010-06,9,2,22.22,,INSUFFICIENT_DATA
Greece,2010-08,33,7,21.21,,INSUFFICIENT_DATA
Greece,2010-09,9,9,100.0,,INSUFFICIENT_DATA
Greece,2010-10,191,47,24.61,,INSUFFICIENT_DATA
Greece,2010-11,38,8,21.05,,INSUFFICIENT_DATA
Greece,2011-01,33,28,84.85,,INSUFFICIENT_DATA
Greece,2011-03,22,5,22.73,,INSUFFICIENT_DATA
Greece,2011-04,31,13,41.94,,INSUFFICIENT_DATA
Greece,2011-07,27,8,29.63,,INSUFFICIENT_DATA
Greece,2011-12,36,8,22.22,,INSUFFICIENT_DATA
Hong Kong,2010-04,48,16,33.33,,INSUFFICIENT_DATA
Hong Kong,2010-05,1,1,100.0,,INSUFFICIENT_DATA
Hong Kong,2010-06,24,14,58.33,,INSUFFICIENT_DATA
Hong Kong,2010-08,1,1,100.0,,INSUFFICIENT_DATA
Hong Kong,2011-01,55,39,70.91,,INSUFFICIENT_DATA
Hong Kong,2011-03,1,1,100.0,,INSUFFICIENT_DATA
Hong Kong,2011-04,32,19,59.38,,INSUFFICIENT_DATA
Hong Kong,2011-05,93,16,17.2,,INSUFFICIENT_DATA
Hong Kong,2011-06,16,9,56.25,,INSUFFICIENT_DATA
Hong Kong,2011-08,50,30,60.0,,INSUFFICIENT_DATA
Hong Kong,2011-09,1,1,100.0,,INSUFFICIENT_DATA
Hong Kong,2011-10,34,14,41.18,,INSUFFICIENT_DATA
Hong Kong,2011-11,1,0,0.0,,INSUFFICIENT_DATA
Iceland,2010-10,42,3,7.14,,INSUFFICIENT_DATA
Iceland,2010-12,31,17,54.84,,INSUFFICIENT_DATA
Iceland,2011-01,29,8,27.59,,INSUFFICIENT_DATA
Iceland,2011-04,24,11,45.83,,INSUFFICIENT_DATA
Iceland,2011-06,19,9,47.37,,INSUFFICIENT_DATA
Iceland,2011-08,22,9,40.91,,INSUFFICIENT_DATA
Iceland,2011-10,50,21,42.0,,INSUFFICIENT_DATA
Iceland,2011-12,12,3,25.0,,INSUFFICIENT_DATA
Israel,2010-07,45,19,42.22,,INSUFFICIENT_DATA
Israel,2010-11,32,11,34.38,,INSUFFICIENT_DATA
Israel,2011-01,14,4,28.57,,INSUFFICIENT_DATA
Israel,2011-02,19,9,47.37,,INSUFFICIENT_DATA
Israel,2011-04,6,2,33.33,,INSUFFICIENT_DATA
Israel,2011-07,28,18,64.29,,INSUFFICIENT_DATA
Israel,2011-08,172,59,34.3,,INSUFFICIENT_DATA
Israel,2011-09,29,7,24.14,,INSUFFICIENT_DATA
Israel,2011-10,32,2,6.25,,INSUFFICIENT_DATA
Italy,2009-12,19,3,15.79,,INSUFFICIENT_DATA
Italy,2010-01,1,0,0.0,,INSUFFICIENT_DATA
Italy,2010-03,46,14,30.43,,INSUFFICIENT_DATA
Italy,2010-04,65,14,21.54,,INSUFFICIENT_DATA
Italy,2010-05,161,22,13.66,,INSUFFICIENT_DATA
Italy,2010-06,16,2,12.5,,INSUFFICIENT_DATA
Italy,2010-09,49,21,42.86,,INSUFFICIENT_DATA
Italy,2010-10,247,59,23.89,,INSUFFICIENT_DATA
Italy,2010-11,95,26,27.37,,INSUFFICIENT_DATA
Italy,2010-12,40,15,37.5,,INSUFFICIENT_DATA
Italy,2011-01,109,26,23.85,,INSUFFICIENT_DATA
Italy,2011-02,13,4,30.77,,INSUFFICIENT_DATA
Italy,2011-03,84,18,21.43,,INSUFFICIENT_DATA
Italy,2011-04,22,11,50.0,,INSUFFICIENT_DATA
Italy,2011-05,23,11,47.83,,INSUFFICIENT_DATA
Italy,2011-06,10,2,20.0,,INSUFFICIENT_DATA
Italy,2011-07,6,3,50.0,,INSUFFICIENT_DATA
Italy,2011-08,96,31,32.29,,INSUFFICIENT_DATA
Italy,2011-09,15,3,20.0,,INSUFFICIENT_DATA
Italy,2011-10,164,48,29.27,,INSUFFICIENT_DATA
Italy,2011-11,178,45,25.28,,INSUFFICIENT_DATA
Italy,2011-12,9,4,44.44,,INSUFFICIENT_DATA
Japan,2010-01,1,0,0.0,,INSUFFICIENT_DATA
Japan,2010-02,30,1,3.33,,INSUFFICIENT_DATA
Japan,2010-03,4,0,0.0,,INSUFFICIENT_DATA
Japan,2010-06,38,9,23.68,,INSUFFICIENT_DATA
Japan,2010-07,33,19,57.58,,INSUFFICIENT_DATA
Japan,2010-09,16,9,56.25,,INSUFFICIENT_DATA
Japan,2010-10,25,7,28.0,,INSUFFICIENT_DATA
Japan,2010-11,3,0,0.0,,INSUFFICIENT_DATA
Japan,2010-12,65,40,61.54,,INSUFFICIENT_DATA
Japan,2011-02,86,34,39.53,,INSUFFICIENT_DATA
Japan,2011-03,16,0,0.0,,INSUFFICIENT_DATA
Japan,2011-04,47,37,78.72,,INSUFFICIENT_DATA
Japan,2011-05,13,11,84.62,,INSUFFICIENT_DATA
Japan,2011-06,6,5,83.33,,INSUFFICIENT_DATA
Japan,2011-07,40,25,62.5,,INSUFFICIENT_DATA
Japan,2011-09,4,1,25.0,,INSUFFICIENT_DATA
Japan,2011-10,16,5,31.25,,INSUFFICIENT_DATA
Japan,2011-11,35,27,77.14,,INSUFFICIENT_DATA
Korea,2010-09,10,2,20.0,,INSUFFICIENT_DATA
Korea,2010-11,44,7,15.91,,INSUFFICIENT_DATA
Lebanon,2010-09,12,0,0.0,,INSUFFICIENT_DATA
Lebanon,2011-01,46,20,43.48,,INSUFFICIENT_DATA
Lithuania,2010-07,79,20,25.32,,INSUFFICIENT_DATA
Lithuania,2010-11,43,21,48.84,,INSUFFICIENT_DATA
Lithuania,2010-12,36,22,61.11,,INSUFFICIENT_DATA
Malta,2010-02,48,9,18.75,,INSUFFICIENT_DATA
Malta,2010-08,128,29,22.66,,INSUFFICIENT_DATA
Malta,2011-06,45,14,31.11,,INSUFFICIENT_DATA
Malta,2011-08,57,14,24.56,,INSUFFICIENT_DATA
Malta,2011-11,13,4,30.77,,INSUFFICIENT_DATA
Netherlands,2009-12,162,76,46.91,,INSUFFICIENT_DATA
Netherlands,2010-01,152,94,61.84,,INSUFFICIENT_DATA
Netherlands,2010-02,100,57,57.0,,INSUFFICIENT_DATA
Netherlands,2010-03,188,110,58.51,,INSUFFICIENT_DATA
Netherlands,2010-04,186,73,39.25,,INSUFFICIENT_DATA
Netherlands,2010-05,291,152,52.23,,INSUFFICIENT_DATA
Netherlands,2010-06,216,101,46.76,,INSUFFICIENT_DATA
Netherlands,2010-07,180,52,28.89,,INSUFFICIENT_DATA
Netherlands,2010-08,271,130,47.97,,INSUFFICIENT_DATA
Netherlands,2010-09,407,204,50.12,,INSUFFICIENT_DATA
Netherlands,2010-10,167,87,52.1,,INSUFFICIENT_DATA
Netherlands,2010-11,464,194,41.81,,INSUFFICIENT_DATA
Netherlands,2010-12,75,51,68.0,,INSUFFICIENT_DATA
Netherlands,2011-01,232,151,65.09,,INSUFFICIENT_DATA
Netherlands,2011-02,189,119,62.96,,INSUFFICIENT_DATA
Netherlands,2011-03,193,112,58.03,,INSUFFICIENT_DATA
Netherlands,2011-04,24,14,58.33,,INSUFFICIENT_DATA
Netherlands,2011-05,220,145,65.91,,INSUFFICIENT_DATA
Netherlands,2011-06,330,160,48.48,,INSUFFICIENT_DATA
Netherlands,2011-07,10,1,10.0,,INSUFFICIENT_DATA
Netherlands,2011-08,283,192,67.84,,INSUFFICIENT_DATA
Netherlands,2011-09,251,177,70.52,,INSUFFICIENT_DATA
Netherlands,2011-10,284,159,55.99,,INSUFFICIENT_DATA
Netherlands,2011-11,230,123,53.48,,INSUFFICIENT_DATA
Netherlands,2011-12,88,64,72.73,,INSUFFICIENT_DATA
Nigeria,2010-01,1,0,0.0,,INSUFFICIENT_DATA
Nigeria,2010-08,29,3,10.34,,INSUFFICIENT_DATA
Norway,2009-12,21,8,38.1,,INSUFFICIENT_DATA
Norway,2010-03,2,2,100.0,,INSUFFICIENT_DATA
Norway,2010-08,8,1,12.5,,INSUFFICIENT_DATA
Norway,2010-09,53,13,24.53,,INSUFFICIENT_DATA
Norway,2010-11,140,51,36.43,,INSUFFICIENT_DATA
Norway,2010-12,148,46,31.08,,INSUFFICIENT_DATA
Norway,2011-02,33,8,24.24,,INSUFFICIENT_DATA
Norway,2011-03,23,8,34.78,,INSUFFICIENT_DATA
Norway,2011-06,166,81,48.8,,INSUFFICIENT_DATA
Norway,2011-07,49,11,22.45,,INSUFFICIENT_DATA
Norway,2011-08,78,20,25.64,,INSUFFICIENT_DATA
Norway,2011-09,208,101,48.56,,INSUFFICIENT_DATA
Norway,2011-10,120,36,30.0,,INSUFFICIENT_DATA
Norway,2011-11,185,86,46.49,,INSUFFICIENT_DATA
Norway,2011-12,75,39,52.0,,INSUFFICIENT_DATA
Poland,2009-12,22,6,27.27,,INSUFFICIENT_DATA
Poland,2010-03,15,3,20.0,,INSUFFICIENT_DATA
Poland,2010-06,25,5,20.0,,INSUFFICIENT_DATA
Poland,2010-07,21,3,14.29,,INSUFFICIENT_DATA
Poland,2010-08,22,9,40.91,,INSUFFICIENT_DATA
Poland,2010-09,18,8,44.44,,INSUFFICIENT_DATA
Poland,2010-11,52,9,17.31,,INSUFFICIENT_DATA
Poland,2010-12,8,3,37.5,,INSUFFICIENT_DATA
Poland,2011-01,25,12,48.0,,INSUFFICIENT_DATA
Poland,2011-02,29,11,37.93,,INSUFFICIENT_DATA
Poland,2011-03,9,4,44.44,,INSUFFICIENT_DATA
Poland,2011-04,26,4,15.38,,INSUFFICIENT_DATA
Poland,2011-05,72,22,30.56,,INSUFFICIENT_DATA
Poland,2011-06,16,3,18.75,,INSUFFICIENT_DATA
Poland,2011-07,34,3,8.82,,INSUFFICIENT_DATA
Poland,2011-08,17,7,41.18,,INSUFFICIENT_DATA
Poland,2011-09,30,9,30.0,,INSUFFICIENT_DATA
Poland,2011-11,73,20,27.4,,INSUFFICIENT_DATA
Portugal,2009-12,102,34,33.33,,INSUFFICIENT_DATA
Portugal,2010-01,1,0,0.0,,INSUFFICIENT_DATA
Portugal,2010-02,28,8,28.57,,INSUFFICIENT_DATA
Portugal,2010-03,98,30,30.61,,INSUFFICIENT_DATA
Portugal,2010-04,2,1,50.0,,INSUFFICIENT_DATA
Portugal,2010-05,28,7,25.0,,INSUFFICIENT_DATA
Portugal,2010-06,155,35,22.58,,INSUFFICIENT_DATA
Portugal,2010-07,16,2,12.5,,INSUFFICIENT_DATA
Portugal,2010-08,25,8,32.0,,INSUFFICIENT_DATA
Portugal,2010-09,157,38,24.2,,INSUFFICIENT_DATA
Portugal,2010-10,162,24,14.81,,INSUFFICIENT_DATA
Portugal,2010-11,222,52,23.42,,INSUFFICIENT_DATA
Portugal,2010-12,116,34,29.31,,INSUFFICIENT_DATA
Portugal,2011-01,120,50,41.67,,INSUFFICIENT_DATA
Portugal,2011-02,57,14,24.56,,INSUFFICIENT_DATA
Portugal,2011-03,115,50,43.48,,INSUFFICIENT_DATA
Portugal,2011-04,78,21,26.92,,INSUFFICIENT_DATA
Portugal,2011-05,82,8,9.76,,INSUFFICIENT_DATA
Portugal,2011-06,48,9,18.75,,INSUFFICIENT_DATA
Portugal,2011-07,89,37,41.57,,INSUFFICIENT_DATA
Portugal,2011-08,43,30,69.77,,INSUFFICIENT_DATA
Portugal,2011-09,75,13,17.33,,INSUFFICIENT_DATA
