risk_rank,txn_id,invoice,invoice_date,customer_id,country,stock_code,description,quantity,price,amount,composite_risk,risk_band,rule_flag_names,if_pct,suggested_procedure
22,TXN-00830203,578518,2011-09-13 12:36:00,16523,United Kingdom,23202,JUMBO BAG VINTAGE LEAF,100.0,20.0,2000.0,0.93618,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99236,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
23,TXN-00778902,523347,2011-08-02 11:02:00,13031,United Kingdom,35961,FOLKART ZINC HEART CHRISTMAS DEC,100.0,20.0,2000.0,0.93581,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99162,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
24,TXN-00316558,564200,2010-08-30 10:30:00,13263,United Kingdom,23330,DECORATIVE WICKER HEART MEDIUM,50.0,20.0,1000.0,0.93559,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99118,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
25,TXN-00760063,534699,2011-07-18 13:33:00,17700,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,100.0,20.0,2000.0,0.93556,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99112,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
26,TXN-00937547,568716,2011-11-08 09:58:00,17783,United Kingdom,22185,SLATE TILE NATURAL HANGING,50.0,20.0,1000.0,0.9351,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9902,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
27,TXN-00122153,545909,2010-03-15 12:23:00,15764,United Kingdom,21918,SET 12 KIDS COLOUR  CHALK STICKS,100.0,10.0,1000.0,0.93502,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.99004,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
28,TXN-00700291,512714,2011-05-31 10:30:00,13608,United Kingdom,20615,BLUE SPOTTY PASSPORT COVER,50.0,20.0,1000.0,0.93403,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98806,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
29,TXN-00044405,561469,2009-12-31 10:30:00,16447,United Kingdom,84818,DANISH ROSE PHOTO FRAME,50.0,20.0,1000.0,0.93397,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98794,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
30,TXN-01025711,581403,2011-12-08 09:48:00,17644,United Kingdom,23118,PARISIENNE JEWELLERY DRAWER,124.0,7.5,930.0,0.93382,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98764,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
31,TXN-00413591,578017,2010-10-29 10:30:00,14506,United Kingdom,23321,SMALL WHITE HEART OF WICKER,50.0,20.0,1000.0,0.93367,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98734,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
32,TXN-00883207,499785,2011-10-11 17:53:00,15367,United Kingdom,21564,PINK  HEART SHAPE LOVE BUCKET,100.0,10.0,1000.0,0.93335,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.9867,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
33,TXN-00284755,576619,2010-07-30 10:30:00,17231,United Kingdom,21745,GAOLERS KEYS DECORATIVE GARDEN,25.0,20.0,500.0,0.93322,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98644,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
34,TXN-00103212,555947,2010-02-28 10:30:00,17238,United Kingdom,21242,RED RETROSPOT PLATE,100.0,5.0,500.0,0.93311,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98622,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
35,TXN-00918624,515091,2011-10-31 10:34:00,17988,United Kingdom,22505,MEMO BOARD COTTAGE DESIGN,100.0,5.0,500.0,0.93291,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98582,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
36,TXN-00765912,541667,2011-07-21 16:56:00,17862,United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT,100.0,5.0,500.0,0.93187,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS, HIGH_QUANTITY",0.98374,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
37,TXN-00033403,492363,2009-12-16 08:33:00,17833,United Kingdom,21955,UNION JACK GUNS & ROSES  DOORMAT,68.0,6.75,459.0,0.93135,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, HIGH_QUANTITY, SPLIT_AMOUNT",0.9827,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
38,TXN-00953163,576062,2011-11-13 15:30:00,12867,United Kingdom,23500,KEY RING BASEBALL BOOT ASSORTED,40.0,1.25,50.0,0.92553,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.97106,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
39,TXN-00164925,505213,2010-04-21 09:52:00,15366,United Kingdom,21656,RIDGED GLASS POSY VASE,72.0,1.25,90.0,0.92516,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.97032,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
40,TXN-00222118,511269,2010-06-07 13:02:00,16984,United Kingdom,22460,EMBOSSED GLASS TEALIGHT HOLDER,48.0,1.25,60.0,0.92181,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, HIGH_QUANTITY, SPLIT_AMOUNT",0.96362,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
41,TXN-00345169,523539,2010-09-22 14:05:00,16329,United Kingdom,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,24.0,3.75,90.0,0.91613,CRITICAL,"ROUND_NUMBER, DUPLICATE_INVOICE, ROUND_DOLLARS, SPLIT_AMOUNT",0.95226,Agree to supporting sales order and despatch note; confirm not a duplicate of a prior invoice.
42,TXN-00978640,578008,2011-11-22 12:47:00,14657,United Kingdom,22966,GINGERBREAD MAN COOKIE CUTTER,24.0,1.25,30.0,0.901339,CRITICAL,"ROUND_NUMBER, DUPLICATE_INVOICE, ROUND_DOLLARS, HIGH_QUANTITY",0.92268,Agree to supporting sales order and despatch note; confirm not a duplicate of a prior invoice.
43,TXN-00205005,509472,2010-05-24 11:11:00,18052,United Kingdom,21538,DAIRY MAID  PUDDING BOWL,1200.0,1.25,1500.0,0.87996,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99992,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
44,TXN-00285981,517731,2010-08-01 13:31:00,18102,United Kingdom,22365,DOORMAT RESPECTABLE HOUSE,300.0,4.579999923706055,1374.0,0.87995,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9999,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
45,TXN-00713894,556255,2011-06-09 17:27:00,18102,United Kingdom,48188,DOORMAT WELCOME PUPPIES,300.0,4.579999923706055,1374.0,0.87992,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99984,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
46,TXN-00268896,515944,2010-07-15 15:29:00,18102,United Kingdom,48111,DOORMAT 3 SMILEY CATS,300.0,4.579999923706055,1374.0,0.8799,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9998,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
47,TXN-00602766,497573,2011-03-04 11:57:00,18102,United Kingdom,21621,VINTAGE UNION JACK BUNTING,200.0,6.980000019073486,1396.0,0.87985,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9997,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
48,TXN-00424552,530642,2010-11-03 16:34:00,17949,United Kingdom,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,360.0,1.7999999523162842,648.0,0.87984,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99968,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
49,TXN-00045241,493613,2010-01-05 11:31:00,17949,United Kingdom,84050,PINK HEART SHAPE EGG FRYING PAN,408.0,1.25,510.0,0.87982,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99964,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
50,TXN-00625997,547708,2011-03-24 18:34:00,17450,United Kingdom,21259,VICTORIAN SEWING BOX SMALL,192.0,6.0,1152.0,0.87981,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99962,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
51,TXN-00380267,526585,2010-10-12 11:52:00,12931,United Kingdom,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,240.0,3.75,900.0,0.87969,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99938,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
52,TXN-00684113,553368,2011-05-16 14:24:00,18102,United Kingdom,48188,DOORMAT WELCOME PUPPIES,100.0,4.579999923706055,458.0,0.87962,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99924,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
53,TXN-00652377,536787,2011-04-18 08:42:00,15061,United Kingdom,20685,DOORMAT RED RETROSPOT,5.0,2000.0,10000.0,0.87955,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.9991,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
54,TXN-00170082,505744,2010-04-26 07:15:00,15769,United Kingdom,85099F,JUMBO BAG STRAWBERRY,300.0,1.649999976158142,495.0,0.87953,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99906,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
55,TXN-00192536,508095,2010-05-13 08:57:00,12931,United Kingdom,22139,RETRO SPOT TEA SET CERAMIC 11 PC,140.0,4.25,595.0,0.87951,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99902,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
56,TXN-00202836,509352,2010-05-21 13:33:00,18102,United Kingdom,22386,JUMBO BAG PINK WITH WHITE SPOTS,200.0,1.2999999523162842,260.0,0.87931,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.99862,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
57,TXN-00367841,528449,2010-10-05 14:38:00,12748,United Kingdom,35594,WOODEN CHRISTMAS TREE 3 HANGING,20.0,500.0,10000.0,0.8793,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.9986,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
58,TXN-00052347,494243,2010-01-12 15:57:00,18102,United Kingdom,22083,PAPER CHAIN KIT RETRO SPOT,120.0,2.0,240.0,0.87929,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.99858,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
59,TXN-00796299,563589,2011-08-17 19:40:00,17450,United Kingdom,48188,DOORMAT WELCOME PUPPIES,20.0,8.0,160.0,0.87926,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.99852,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
60,TXN-00915548,558752,2011-10-30 10:30:00,16009,United Kingdom,22956,36 FOIL HEART CAKE CASES,1.0,10000.0,10000.0,0.87918,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99836,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
61,TXN-00095113,498504,2010-02-19 11:29:00,12931,United Kingdom,21172,PARTY METAL SIGN,200.0,1.25,250.0,0.87915,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.9983,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
62,TXN-00175711,579198,2010-04-29 10:30:00,14096,United Kingdom,22589,CARDHOLDER GINGHAM STAR,1.0,5000.0,5000.0,0.87911,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99822,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
63,TXN-00904138,572325,2011-10-24 09:54:00,14607,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,600.0,1.7400000095367432,1044.0,0.8791,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9982,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
64,TXN-00471912,534393,2010-11-22 13:09:00,16013,United Kingdom,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,144.0,2.75,396.0,0.87908,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99816,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
65,TXN-00775950,578545,2011-07-31 10:30:00,14277,France,23472,NINE DRAWER OFFICE TIDY,2.0,1000.0,2000.0,0.87907,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99814,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
66,TXN-00493043,532437,2010-11-30 11:54:00,18135,United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,2227.0,1.059999942779541,2360.6201171875,0.87906,CRITICAL,"LARGE_AMOUNT, HIGH_QUANTITY, SPLIT_AMOUNT",0.99812,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
67,TXN-00796621,563616,2011-08-18 09:39:00,13027,United Kingdom,21977,PACK OF 60 PINK PAISLEY CAKE CASES,720.0,0.4000000059604645,288.0,0.87897,CRITICAL,"ROUND_NUMBER, HIGH_QUANTITY, SPLIT_AMOUNT",0.99794,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
68,TXN-00740891,558870,2011-07-04 12:58:00,14145,United Kingdom,15056BL,EDWARDIAN PARASOL BLACK,120.0,4.949999809265137,594.0,0.87895,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9979,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
69,TXN-00922155,573780,2011-11-01 10:23:00,18092,United Kingdom,84030E,ENGLISH ROSE HOT WATER BOTTLE,423.0,3.75,1586.25,0.87893,CRITICAL,"LARGE_AMOUNT, HIGH_QUANTITY, SPLIT_AMOUNT",0.99786,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
70,TXN-00826027,566259,2011-09-11 12:45:00,17317,United Kingdom,23085,ANTIQUE SILVER BAUBLE LAMP,48.0,8.25,396.0,0.8789,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.9978,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
71,TXN-00727068,556482,2011-06-21 12:42:00,16983,United Kingdom,22273,FELTCRAFT DOLL MOLLY,2.0,2500.0,5000.0,0.87889,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99778,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
72,TXN-00661853,551162,2011-04-26 15:45:00,12901,United Kingdom,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200.0,0.20999999344348907,252.0,0.87887,CRITICAL,"ROUND_NUMBER, HIGH_QUANTITY, SPLIT_AMOUNT",0.99774,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
73,TXN-00691392,554071,2011-05-22 11:17:00,13113,United Kingdom,22501,PICNIC BASKET WICKER LARGE,200.0,8.5,1700.0,0.87881,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99762,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
74,TXN-00247382,513651,2010-06-28 09:33:00,14045,United Kingdom,37449,CERAMIC CAKE STAND + HANGING CAKES,40.0,8.5,340.0,0.8788,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.9976,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
75,TXN-00206410,509649,2010-05-25 11:50:00,13027,United Kingdom,84991,60 TEATIME FAIRY CAKE CASES,720.0,0.4000000059604645,288.0,0.87878,CRITICAL,"ROUND_NUMBER, HIGH_QUANTITY, SPLIT_AMOUNT",0.99756,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
76,TXN-00394645,527870,2010-10-19 11:36:00,16684,United Kingdom,22365,DOORMAT RESPECTABLE HOUSE,120.0,6.75,810.0,0.87875,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.9975,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
77,TXN-00000078,489438,2009-12-01 09:24:00,18102,United Kingdom,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30.0,2.0,60.0,0.87866,CRITICAL,"ROUND_NUMBER, ROUND_DOLLARS, SPLIT_AMOUNT",0.99732,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
78,TXN-00835408,554982,2011-09-16 10:39:00,16889,United Kingdom,22090,PAPER BUNTING RETROSPOT,4.0,500.0,2000.0,0.87861,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99722,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
79,TXN-00305088,519640,2010-08-19 10:11:00,16684,United Kingdom,15056N,EDWARDIAN PARASOL NATURAL,120.0,4.949999809265137,594.0,0.87857,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, SPLIT_AMOUNT",0.99714,Obtain the approval matrix; confirm the authorisation limit and whether the item was split to avoid it.
80,TXN-00489015,528742,2010-11-29 10:30:00,15665,United Kingdom,22379,RECYCLING BAG RETROSPOT,1.0,2000.0,2000.0,0.87855,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.9971,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
81,TXN-00116098,507361,2010-03-09 10:26:00,17028,United Kingdom,22367,CHILDS APRON SPACEBOY DESIGN,4.0,1250.0,5000.0,0.87854,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99708,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
82,TXN-00073035,568688,2010-01-29 10:30:00,16115,United Kingdom,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,2.0,5000.0,10000.0,0.87853,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99706,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
83,TXN-00859957,568403,2011-09-29 17:20:00,13644,United Kingdom,22161,HEART DECORATION RUSTIC HANGING,5.0,1000.0,5000.0,0.87852,CRITICAL,"ROUND_NUMBER, LARGE_AMOUNT, ROUND_DOLLARS",0.99704,Obtain the approval matrix; confirm the authorisation limit applicable to this transaction.
