country,year_month,n,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,mad,classification,obs12_10,obs12_11,obs12_12,obs12_13,obs12_14,obs12_15,obs12_16,obs12_17,obs12_18,obs12_19
Australia,2011-07,159,0.057471,0.068966,0.057471,0.068966,0.16092,0.057471,0.172414,0.114943,0.241379,0.101238,NONCONFORMING,0.075472,0.028302,0.009434,0.018868,0.037736,0.113208,0.028302,0.09434,0.018868,0.056604
Australia,2011-08,114,0.091837,0.122449,0.102041,0.122449,0.071429,0.112245,0.173469,0.040816,0.163265,0.067516,NONCONFORMING,0.044248,0.0,0.061947,0.044248,0.061947,0.00885,0.035398,0.115044,0.0,0.00885
Australia,2011-09,104,0.05,0.025,0.175,0.075,0.2125,0.175,0.1125,0.0125,0.1625,0.102819,NONCONFORMING,0.051546,0.0,0.0,0.082474,0.030928,0.092784,0.123711,0.082474,0.0,0.072165
Australia,2011-10,120,0.178218,0.069307,0.148515,0.09901,0.138614,0.178218,0.128713,0.0,0.059406,0.062389,NONCONFORMING,0.060345,0.008621,0.043103,0.068966,0.060345,0.051724,0.060345,0.086207,0.0,0.025862
Australia,2011-11,41,0.16129,0.064516,0.064516,0.225806,0.129032,0.0,0.129032,0.064516,0.16129,0.084152,NONCONFORMING,0.1,0.1,0.0,0.0,0.125,0.075,0.0,0.1,0.025,0.0
Austria,2009-12,39,0.088235,0.0,0.176471,0.029412,0.176471,0.0,0.294118,0.0,0.235294,0.127663,NONCONFORMING,0.0,0.0,0.0,0.153846,0.025641,0.051282,0.0,0.128205,0.0,0.102564
Austria,2010-02,58,0.020833,0.208333,0.166667,0.083333,0.083333,0.0625,0.25,0.0,0.125,0.077639,NONCONFORMING,0.075472,0.0,0.132075,0.132075,0.075472,0.075472,0.056604,0.226415,0.0,0.075472
Austria,2010-03,37,0.076923,0.153846,0.076923,0.076923,0.230769,0.038462,0.307692,0.0,0.038462,0.089175,NONCONFORMING,0.0,0.028571,0.114286,0.057143,0.057143,0.142857,0.028571,0.228571,0.0,0.028571
Austria,2010-04,40,0.033333,0.0,0.2,0.1,0.233333,0.0,0.2,0.066667,0.166667,0.113497,NONCONFORMING,0.075,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Austria,2010-05,34,0.0,0.058824,0.235294,0.058824,0.235294,0.0,0.0,0.0,0.411765,0.14055,NONCONFORMING,0.214286,0.0,0.035714,0.107143,0.035714,0.142857,0.0,0.0,0.0,0.214286
Austria,2010-06,18,0.142857,0.0,0.142857,0.0,0.285714,0.0,0.0,0.0,0.428571,0.134948,NONCONFORMING,0.0,0.142857,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.142857
Austria,2010-08,63,0.04878,0.02439,0.146341,0.04878,0.317073,0.04878,0.243902,0.02439,0.097561,0.110446,NONCONFORMING,0.160714,0.017857,0.017857,0.071429,0.035714,0.142857,0.0,0.178571,0.017857,0.071429
Austria,2010-09,100,0.048387,0.064516,0.290323,0.016129,0.258065,0.080645,0.16129,0.0,0.080645,0.110256,NONCONFORMING,0.162791,0.034884,0.023256,0.162791,0.0,0.186047,0.05814,0.104651,0.0,0.05814
Austria,2010-10,33,0.0,0.086957,0.0,0.086957,0.217391,0.086957,0.173913,0.0,0.347826,0.128047,NONCONFORMING,0.121212,0.0,0.030303,0.0,0.030303,0.060606,0.0,0.121212,0.0,0.090909
Austria,2010-11,118,0.063291,0.088608,0.189873,0.088608,0.227848,0.025316,0.151899,0.012658,0.151899,0.091922,NONCONFORMING,0.067308,0.0,0.057692,0.086538,0.028846,0.144231,0.019231,0.105769,0.009615,0.086538
Austria,2010-12,8,0.142857,0.142857,0.0,0.0,0.142857,0.0,0.428571,0.142857,0.0,0.11688,NONCONFORMING,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.375,0.0,0.0
Austria,2011-02,21,0.058824,0.0,0.117647,0.0,0.176471,0.0,0.176471,0.0,0.470588,0.142355,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.052632,0.0,0.157895,0.0,0.315789
Austria,2011-03,18,0.0,0.0,0.0,0.0,0.181818,0.181818,0.272727,0.0,0.363636,0.166694,NONCONFORMING,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0
Austria,2011-04,26,0.0,0.0,0.368421,0.0,0.263158,0.157895,0.157895,0.0,0.052632,0.13893,NONCONFORMING,0.076923,0.0,0.0,0.192308,0.0,0.115385,0.076923,0.115385,0.0,0.0
Austria,2011-05,53,0.054054,0.027027,0.162162,0.027027,0.081081,0.135135,0.135135,0.0,0.378378,0.114906,NONCONFORMING,0.183673,0.040816,0.0,0.061224,0.0,0.061224,0.102041,0.102041,0.0,0.183673
Austria,2011-07,56,0.090909,0.022727,0.090909,0.090909,0.227273,0.045455,0.272727,0.0,0.159091,0.105814,NONCONFORMING,0.163636,0.0,0.018182,0.036364,0.054545,0.181818,0.018182,0.2,0.0,0.127273
Austria,2011-08,89,0.0,0.035088,0.22807,0.035088,0.245614,0.035088,0.245614,0.0,0.175439,0.130415,NONCONFORMING,0.109589,0.0,0.027397,0.082192,0.013699,0.191781,0.027397,0.178082,0.0,0.123288
Austria,2011-10,56,0.026316,0.078947,0.157895,0.105263,0.289474,0.052632,0.157895,0.026316,0.105263,0.091336,NONCONFORMING,0.117647,0.0,0.058824,0.019608,0.058824,0.176471,0.039216,0.117647,0.019608,0.058824
Austria,2011-11,73,0.035088,0.210526,0.105263,0.105263,0.122807,0.140351,0.157895,0.017544,0.105263,0.070939,NONCONFORMING,0.030769,0.015385,0.138462,0.046154,0.076923,0.076923,0.123077,0.138462,0.0,0.061538
Austria,2011-12,7,0.166667,0.0,0.0,0.666667,0.0,0.166667,0.0,0.0,0.0,0.148773,NONCONFORMING,0.0,0.0,0.0,0.0,0.666667,0.0,0.166667,0.0,0.0,0.0
Bahrain,2010-02,29,0.0,0.125,0.083333,0.083333,0.291667,0.0,0.291667,0.0,0.125,0.116756,NONCONFORMING,0.0,0.0,0.12,0.08,0.08,0.28,0.0,0.28,0.0,0.12
Bahrain,2010-03,15,0.142857,0.142857,0.071429,0.0,0.357143,0.0,0.214286,0.071429,0.0,0.101007,NONCONFORMING,0.066667,0.066667,0.133333,0.0,0.0,0.133333,0.0,0.2,0.0,0.0
Bahrain,2010-05,27,0.153846,0.0,0.0,0.153846,0.230769,0.0,0.076923,0.0,0.384615,0.125848,NONCONFORMING,0.166667,0.041667,0.0,0.0,0.083333,0.083333,0.0,0.041667,0.0,0.083333
Bahrain,2010-06,15,0.230769,0.0,0.0,0.0,0.692308,0.0,0.0,0.076923,0.0,0.141977,NONCONFORMING,0.0,0.142857,0.0,0.0,0.0,0.571429,0.0,0.0,0.071429,0.0
Bahrain,2010-10,21,0.0,0.133333,0.0,0.0,0.4,0.0,0.266667,0.0,0.2,0.151941,NONCONFORMING,0.058824,0.0,0.117647,0.0,0.0,0.352941,0.0,0.235294,0.0,0.117647
Bahrain,2010-12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,2011-05,17,0.0625,0.0625,0.0,0.0,0.3125,0.0,0.25,0.0,0.3125,0.153793,NONCONFORMING,0.0,0.058824,0.058824,0.0,0.0,0.0,0.0,0.235294,0.0,0.176471
Belgium,2009-12,20,0.0625,0.125,0.25,0.0625,0.3125,0.125,0.0625,0.0,0.0,0.093542,NONCONFORMING,0.105263,0.0,0.052632,0.210526,0.052632,0.210526,0.105263,0.052632,0.0,0.0
Belgium,2010-01,93,0.083333,0.1,0.083333,0.05,0.383333,0.033333,0.15,0.0,0.116667,0.103793,NONCONFORMING,0.216867,0.024096,0.072289,0.048193,0.036145,0.180723,0.024096,0.096386,0.0,0.084337
Belgium,2010-02,63,0.023256,0.046512,0.023256,0.023256,0.302326,0.116279,0.093023,0.023256,0.348837,0.135686,NONCONFORMING,0.137931,0.0,0.0,0.017241,0.017241,0.12069,0.068966,0.068966,0.0,0.206897
Belgium,2010-03,47,0.035714,0.178571,0.178571,0.071429,0.142857,0.142857,0.142857,0.0,0.107143,0.075989,NONCONFORMING,0.243902,0.0,0.097561,0.121951,0.04878,0.097561,0.073171,0.097561,0.0,0.073171
Belgium,2010-04,116,0.0,0.075,0.0875,0.075,0.3375,0.05,0.1125,0.0,0.2625,0.117682,NONCONFORMING,0.064815,0.0,0.037037,0.064815,0.046296,0.166667,0.009259,0.074074,0.0,0.175926
Belgium,2010-05,6,0.0,0.0,0.0,0.166667,0.166667,0.333333,0.333333,0.0,0.0,0.155327,NONCONFORMING,0.0,0.0,0.0,0.0,0.166667,0.166667,0.333333,0.333333,0.0,0.0
Belgium,2010-06,139,0.058333,0.091667,0.1,0.116667,0.175,0.008333,0.116667,0.041667,0.291667,0.093369,NONCONFORMING,0.058824,0.044118,0.022059,0.051471,0.058824,0.110294,0.007353,0.080882,0.014706,0.154412
Belgium,2010-07,105,0.037975,0.0,0.291139,0.088608,0.253165,0.025316,0.139241,0.012658,0.151899,0.117239,NONCONFORMING,0.07,0.01,0.0,0.1,0.07,0.19,0.01,0.1,0.01,0.12
Belgium,2010-08,81,0.035714,0.035714,0.196429,0.071429,0.214286,0.125,0.125,0.035714,0.160714,0.099247,NONCONFORMING,0.071429,0.028571,0.028571,0.085714,0.028571,0.085714,0.071429,0.1,0.014286,0.1
Belgium,2010-09,66,0.0,0.0,0.083333,0.0625,0.270833,0.125,0.166667,0.0,0.291667,0.134287,NONCONFORMING,0.1875,0.0,0.0,0.0,0.046875,0.171875,0.0625,0.125,0.0,0.21875
Belgium,2010-10,83,0.014706,0.147059,0.073529,0.014706,0.25,0.088235,0.191176,0.014706,0.205882,0.10787,NONCONFORMING,0.1,0.0125,0.05,0.0125,0.0125,0.1625,0.0625,0.1625,0.0,0.1125
Belgium,2010-11,225,0.055556,0.154321,0.092593,0.030864,0.271605,0.067901,0.135802,0.012346,0.179012,0.089876,NONCONFORMING,0.09901,0.029703,0.09901,0.034653,0.019802,0.158416,0.014851,0.079208,0.009901,0.10396
Belgium,2010-12,96,0.040816,0.061224,0.204082,0.040816,0.326531,0.102041,0.102041,0.020408,0.102041,0.102649,NONCONFORMING,0.243902,0.012195,0.036585,0.085366,0.012195,0.134146,0.02439,0.036585,0.0,0.036585
Belgium,2011-01,59,0.04878,0.073171,0.243902,0.02439,0.195122,0.0,0.146341,0.02439,0.243902,0.115867,NONCONFORMING,0.092593,0.018519,0.037037,0.092593,0.018519,0.055556,0.0,0.111111,0.0,0.185185
Belgium,2011-02,120,0.033333,0.011111,0.1,0.044444,0.388889,0.088889,0.2,0.022222,0.111111,0.11978,NONCONFORMING,0.136364,0.027273,0.0,0.009091,0.036364,0.272727,0.072727,0.163636,0.009091,0.063636
Belgium,2011-03,164,0.015504,0.085271,0.139535,0.054264,0.263566,0.054264,0.186047,0.015504,0.186047,0.10385,NONCONFORMING,0.078431,0.013072,0.03268,0.091503,0.019608,0.156863,0.045752,0.156863,0.013072,0.117647
Belgium,2011-04,119,0.021739,0.043478,0.141304,0.043478,0.304348,0.152174,0.108696,0.01087,0.173913,0.11236,NONCONFORMING,0.101852,0.018519,0.027778,0.055556,0.018519,0.231481,0.092593,0.092593,0.009259,0.12963
Belgium,2011-05,147,0.028571,0.07619,0.133333,0.028571,0.171429,0.257143,0.161905,0.0,0.142857,0.1093,NONCONFORMING,0.04,0.0,0.056,0.056,0.016,0.136,0.12,0.128,0.0,0.12
Belgium,2011-06,233,0.0,0.055556,0.111111,0.055556,0.302469,0.166667,0.209877,0.012346,0.08642,0.114568,NONCONFORMING,0.093596,0.0,0.034483,0.039409,0.009852,0.192118,0.108374,0.167488,0.009852,0.059113
Belgium,2011-07,131,0.032258,0.043011,0.086022,0.150538,0.182796,0.086022,0.225806,0.010753,0.182796,0.106927,NONCONFORMING,0.13913,0.008696,0.034783,0.017391,0.086957,0.113043,0.069565,0.165217,0.0,0.13913
Belgium,2011-08,197,0.045455,0.037879,0.113636,0.060606,0.272727,0.083333,0.189394,0.007576,0.189394,0.107771,NONCONFORMING,0.141176,0.017647,0.017647,0.058824,0.017647,0.164706,0.047059,0.147059,0.0,0.117647
Belgium,2011-09,188,0.049296,0.049296,0.091549,0.077465,0.183099,0.169014,0.183099,0.0,0.197183,0.107226,NONCONFORMING,0.062147,0.0,0.033898,0.022599,0.016949,0.107345,0.135593,0.146893,0.0,0.129944
Belgium,2011-10,269,0.010417,0.041667,0.09375,0.083333,0.260417,0.177083,0.177083,0.005208,0.151042,0.114611,NONCONFORMING,0.073469,0.004082,0.028571,0.02449,0.020408,0.155102,0.118367,0.138776,0.004082,0.061224
Belgium,2011-11,249,0.022222,0.122222,0.083333,0.105556,0.25,0.1,0.122222,0.005556,0.188889,0.093307,NONCONFORMING,0.090909,0.004329,0.073593,0.021645,0.038961,0.142857,0.069264,0.095238,0.0,0.108225
Belgium,2011-12,96,0.041667,0.0625,0.041667,0.083333,0.25,0.1875,0.166667,0.0,0.166667,0.115768,NONCONFORMING,0.357143,0.011905,0.02381,0.02381,0.011905,0.107143,0.107143,0.095238,0.0,0.095238
Bermuda,2010-03,34,0.241379,0.0,0.0,0.068966,0.275862,0.206897,0.0,0.0,0.206897,0.110616,NONCONFORMING,0.029412,0.0,0.0,0.0,0.0,0.117647,0.147059,0.0,0.0,0.147059
Brazil,2010-09,59,0.333333,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.14244,NONCONFORMING,0.333333,0.166667,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
Brazil,2011-04,32,0.137931,0.034483,0.034483,0.034483,0.068966,0.310345,0.275862,0.0,0.103448,0.115324,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.03125,0.25,0.21875,0.0,0.0625
Canada,2010-10,51,0.027778,0.055556,0.222222,0.0,0.305556,0.0,0.25,0.0,0.138889,0.135288,NONCONFORMING,0.088889,0.0,0.044444,0.155556,0.0,0.2,0.0,0.111111,0.0,0.111111
Canada,2010-11,27,0.05,0.1,0.05,0.1,0.25,0.0,0.35,0.0,0.1,0.115591,NONCONFORMING,0.2,0.04,0.08,0.04,0.08,0.2,0.0,0.28,0.0,0.08
Canada,2011-03,10,0.0,0.166667,0.5,0.0,0.0,0.0,0.166667,0.0,0.166667,0.134366,NONCONFORMING,0.333333,0.0,0.111111,0.222222,0.0,0.0,0.0,0.111111,0.0,0.111111
Canada,2011-05,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194458,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2011-06,57,0.0,0.025,0.1,0.125,0.175,0.05,0.1,0.075,0.35,0.109779,NONCONFORMING,0.236364,0.0,0.0,0.054545,0.072727,0.054545,0.036364,0.072727,0.054545,0.163636
Canada,2011-07,78,0.0,0.089286,0.107143,0.178571,0.107143,0.125,0.160714,0.017857,0.214286,0.097539,NONCONFORMING,0.0625,0.0,0.078125,0.015625,0.125,0.078125,0.109375,0.140625,0.015625,0.171875
Canada,2011-08,5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.176862,NONCONFORMING,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0
Channel Islands,2009-12,39,0.04,0.0,0.12,0.2,0.2,0.0,0.12,0.0,0.32,0.12448,NONCONFORMING,0.081081,0.0,0.0,0.027027,0.081081,0.027027,0.0,0.027027,0.0,0.108108
Channel Islands,2010-01,27,0.173913,0.043478,0.086957,0.0,0.391304,0.0,0.130435,0.0,0.173913,0.113938,NONCONFORMING,0.041667,0.041667,0.0,0.041667,0.0,0.125,0.0,0.041667,0.0,0.041667
Channel Islands,2010-03,16,0.166667,0.666667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.11829,NONCONFORMING,0.125,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channel Islands,2010-04,52,0.0,0.051282,0.102564,0.128205,0.128205,0.153846,0.153846,0.0,0.282051,0.11097,NONCONFORMING,0.183673,0.0,0.0,0.061224,0.102041,0.061224,0.122449,0.040816,0.0,0.122449
Channel Islands,2010-05,217,0.081967,0.071038,0.125683,0.10929,0.147541,0.081967,0.191257,0.010929,0.180328,0.080964,NONCONFORMING,0.057416,0.009569,0.028708,0.076555,0.090909,0.047847,0.052632,0.148325,0.004785,0.100478
Channel Islands,2010-06,6,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.168214,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0
Channel Islands,2010-08,53,0.037736,0.056604,0.113208,0.132075,0.150943,0.169811,0.113208,0.0,0.226415,0.099037,NONCONFORMING,0.0,0.037736,0.056604,0.037736,0.132075,0.113208,0.169811,0.09434,0.0,0.132075
Channel Islands,2010-09,202,0.019868,0.066225,0.119205,0.033113,0.284768,0.099338,0.178808,0.033113,0.165563,0.106356,NONCONFORMING,0.138462,0.0,0.041026,0.051282,0.005128,0.169231,0.046154,0.133333,0.010256,0.087179
Channel Islands,2010-10,105,0.023529,0.047059,0.152941,0.023529,0.176471,0.070588,0.235294,0.0,0.270588,0.118015,NONCONFORMING,0.12381,0.0,0.028571,0.019048,0.0,0.07619,0.019048,0.152381,0.0,0.085714
Channel Islands,2010-11,100,0.063291,0.050633,0.164557,0.012658,0.443038,0.050633,0.088608,0.0,0.126582,0.114426,NONCONFORMING,0.113402,0.0,0.041237,0.092784,0.0,0.237113,0.030928,0.072165,0.0,0.051546
Channel Islands,2010-12,17,0.0,0.0,0.0,0.230769,0.538462,0.0,0.076923,0.0,0.153846,0.160036,NONCONFORMING,0.0,0.0,0.0,0.0,0.176471,0.411765,0.0,0.058824,0.0,0.0
Channel Islands,2011-01,33,0.035714,0.035714,0.107143,0.035714,0.214286,0.0,0.214286,0.0,0.357143,0.133952,NONCONFORMING,0.125,0.0,0.0,0.0625,0.0,0.15625,0.0,0.15625,0.0,0.0625
Channel Islands,2011-02,10,0.444444,0.0,0.0,0.0,0.0,0.444444,0.0,0.111111,0.0,0.129082,NONCONFORMING,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0
Channel Islands,2011-03,185,0.035714,0.028571,0.135714,0.05,0.321429,0.135714,0.157143,0.0,0.135714,0.113533,NONCONFORMING,0.107955,0.005682,0.017045,0.051136,0.034091,0.198864,0.107955,0.125,0.0,0.090909
Channel Islands,2011-04,10,0.0,0.0,0.125,0.125,0.375,0.0,0.125,0.0,0.25,0.132271,NONCONFORMING,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
Channel Islands,2011-05,34,0.071429,0.0,0.071429,0.178571,0.178571,0.142857,0.142857,0.035714,0.178571,0.105476,NONCONFORMING,0.088235,0.0,0.0,0.029412,0.088235,0.088235,0.088235,0.058824,0.029412,0.088235
Channel Islands,2011-06,82,0.063492,0.015873,0.174603,0.0,0.349206,0.063492,0.206349,0.0,0.126984,0.122061,NONCONFORMING,0.1,0.0,0.0125,0.1,0.0,0.2125,0.0375,0.1625,0.0,0.075
Channel Islands,2011-08,140,0.205607,0.009346,0.074766,0.074766,0.205607,0.168224,0.102804,0.009346,0.149533,0.08362,NONCONFORMING,0.074627,0.022388,0.007463,0.029851,0.044776,0.08209,0.134328,0.074627,0.0,0.097015
Channel Islands,2011-09,71,0.080645,0.080645,0.048387,0.129032,0.241935,0.16129,0.16129,0.016129,0.080645,0.094979,NONCONFORMING,0.058824,0.014706,0.073529,0.029412,0.0,0.161765,0.147059,0.132353,0.014706,0.073529
Channel Islands,2011-10,102,0.057971,0.101449,0.115942,0.043478,0.246377,0.086957,0.130435,0.0,0.217391,0.095841,NONCONFORMING,0.068627,0.019608,0.04902,0.009804,0.0,0.117647,0.039216,0.088235,0.0,0.098039
Channel Islands,2011-11,74,0.0,0.066667,0.166667,0.033333,0.183333,0.15,0.266667,0.0,0.133333,0.116708,NONCONFORMING,0.027027,0.0,0.054054,0.081081,0.0,0.108108,0.121622,0.175676,0.0,0.081081
Channel Islands,2011-12,5,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.177631,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Cyprus,2009-12,194,0.012195,0.152439,0.152439,0.085366,0.243902,0.02439,0.231707,0.018293,0.079268,0.088766,NONCONFORMING,0.044444,0.011111,0.138889,0.083333,0.066667,0.2,0.005556,0.183333,0.0,0.038889
Cyprus,2010-01,4,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.163975,NONCONFORMING,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0
Cyprus,2010-02,50,0.030303,0.242424,0.060606,0.030303,0.212121,0.090909,0.181818,0.0,0.151515,0.100627,NONCONFORMING,0.195122,0.0,0.121951,0.04878,0.02439,0.146341,0.073171,0.146341,0.0,0.097561
Cyprus,2010-03,65,0.04,0.04,0.06,0.06,0.24,0.14,0.22,0.02,0.18,0.117805,NONCONFORMING,0.016667,0.016667,0.016667,0.016667,0.05,0.166667,0.066667,0.183333,0.0,0.083333
Cyprus,2010-04,49,0.0,0.085714,0.028571,0.085714,0.257143,0.028571,0.228571,0.028571,0.257143,0.124428,NONCONFORMING,0.212766,0.0,0.042553,0.021277,0.042553,0.170213,0.021277,0.12766,0.021277,0.148936
Cyprus,2010-05,18,0.0,0.058824,0.058824,0.0,0.411765,0.0,0.294118,0.0,0.176471,0.155427,NONCONFORMING,0.055556,0.0,0.055556,0.0,0.0,0.333333,0.0,0.222222,0.0,0.111111
Cyprus,2010-06,21,0.15,0.1,0.0,0.05,0.25,0.1,0.2,0.0,0.15,0.100027,NONCONFORMING,0.0,0.0,0.095238,0.0,0.047619,0.142857,0.047619,0.190476,0.0,0.095238
Cyprus,2010-09,104,0.148148,0.074074,0.148148,0.0,0.481481,0.037037,0.037037,0.037037,0.037037,0.094558,NONCONFORMING,0.176471,0.058824,0.058824,0.058824,0.0,0.117647,0.029412,0.029412,0.029412,0.029412
Cyprus,2010-10,31,0.0,0.344828,0.103448,0.068966,0.206897,0.034483,0.103448,0.068966,0.068966,0.085095,NONCONFORMING,0.0,0.0,0.322581,0.032258,0.064516,0.16129,0.032258,0.096774,0.032258,0.032258
Cyprus,2010-11,4,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.181571,NONCONFORMING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,2010-12,84,0.085714,0.371429,0.0,0.057143,0.171429,0.114286,0.057143,0.085714,0.057143,0.084638,NONCONFORMING,0.0625,0.0,0.208333,0.0,0.0,0.041667,0.041667,0.020833,0.041667,0.020833
Cyprus,2011-01,16,0.0,0.181818,0.0,0.181818,0.363636,0.181818,0.090909,0.0,0.0,0.116195,NONCONFORMING,0.153846,0.0,0.153846,0.0,0.153846,0.307692,0.0,0.076923,0.0,0.0
Cyprus,2011-02,157,0.076271,0.084746,0.059322,0.101695,0.20339,0.016949,0.305085,0.016949,0.135593,0.103538,NONCONFORMING,0.043796,0.036496,0.058394,0.0,0.080292,0.160584,0.007299,0.240876,0.0,0.065693
