country,year_month,metric,n,observed,expected,mad,chi_square,chi2_pvalue,classification,column
United Kingdom,2010-04,amount_first,30063,"[0.43565179789109537, 0.1601303928416991, 0.10947011276319729, 0.06266839636762798, 0.0801317233809001, 0.03752120546851612, 0.049496058277617, 0.04054818215081662, 0.02438213085853042]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.030127,30061.0,0.0,NONCONFORMING,amount
United Kingdom,2010-08,amount_first,29226,"[0.4231164032026278, 0.1609183603640594, 0.10661739546978717, 0.06258126325874222, 0.09156230753438718, 0.04232532676384042, 0.04400191610210087, 0.0420173817833436, 0.02685964552111134]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.029882,29224.0,0.0,NONCONFORMING,amount
United Kingdom,2010-10,amount_first,51008,"[0.42791326850690087, 0.15938676286072773, 0.11711888331242158, 0.06826380175658721, 0.08549639272271016, 0.03581791091593475, 0.04213064617314931, 0.041601317440401506, 0.022271016311166875]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.0296,51006.0,0.0,NONCONFORMING,amount
United Kingdom,2010-06,amount_first,35176,"[0.41917784853309076, 0.15527632476688652, 0.10913691153058903, 0.064504207414146, 0.0929895383215829, 0.04011257675687969, 0.05119968160109165, 0.042557425517398224, 0.025045485558335228]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.029324,35174.0,0.0,NONCONFORMING,amount
United Kingdom,2010-05,amount_first,30193,"[0.4274169509488954, 0.1599708541714967, 0.11423177557712053, 0.05892094194018481, 0.08425794058225416, 0.040406716788659626, 0.04838869936740304, 0.041565925876858874, 0.024840194747126818]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.029214,30191.0,0.0,NONCONFORMING,amount
United Kingdom,2010-03,amount_first,36871,"[0.4190013832008896, 0.15643730845379838, 0.11290716281088119, 0.067153047110195, 0.08955547720430691, 0.0403297984866155, 0.04610669631960077, 0.04258089013045483, 0.025928236283257845]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.028521,36869.0,0.0,NONCONFORMING,amount
United Kingdom,2010-02,amount_first,25546,"[0.42100524543959916, 0.15873326548187583, 0.10678775542159243, 0.06568543020433727, 0.08478822516245205, 0.043529319658654975, 0.04944022547561262, 0.0424332576528615, 0.02759727550301417]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.027907,25544.0,0.0,NONCONFORMING,amount
United Kingdom,2011-04,amount_first,26462,"[0.42362633209885875, 0.1626483259012924, 0.10539641750434585, 0.0850653767666843, 0.06802206938251076, 0.03654296727382662, 0.04138009220769405, 0.04568815660191974, 0.031630262262867505]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.027244,26460.0,0.0,NONCONFORMING,amount
United Kingdom,2011-03,amount_first,31663,"[0.4213119413826864, 0.1527966396109023, 0.10706502858225689, 0.08625209234753498, 0.07200833780753561, 0.036572655781195715, 0.04503679373401131, 0.0445314720651865, 0.03442503868869027]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.026729,31661.0,0.0,NONCONFORMING,amount
United Kingdom,2011-02,amount_first,24292,"[0.42059114111641693, 0.14646797299522477, 0.10484933311378232, 0.088835830726165, 0.07368681047258356, 0.03700806849991767, 0.04515890004939898, 0.05005763214226906, 0.033344310884241724]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.026569,24290.0,0.0,NONCONFORMING,amount
United Kingdom,2011-05,amount_first,32159,"[0.4173948194906558, 0.16113685127025093, 0.10146459777978172, 0.0916695170869741, 0.0655493019061538, 0.043658073945085356, 0.038682794863024346, 0.046923100842687894, 0.03352094281538605]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.025859,32157.0,0.0,NONCONFORMING,amount
United Kingdom,2010-01,amount_first,27681,"[0.3938080271666486, 0.16672085546042412, 0.11209855135291355, 0.06867526462194284, 0.0998880098262346, 0.04559083848126874, 0.04609660055633828, 0.04284527293089122, 0.02427657960333803]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.025219,27679.0,0.0,NONCONFORMING,amount
United Kingdom,2011-09,amount_first,43352,"[0.3994048717475549, 0.1665897767115704, 0.1068924155748293, 0.09879590330319248, 0.05736759549732423, 0.04022882450636649, 0.03240911607307621, 0.05252352832625946, 0.045787968259826534]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.022592,43350.0,0.0,NONCONFORMING,amount
United Kingdom,2011-08,amount_first,29624,"[0.3988995409127734, 0.164292465568458, 0.10778422900351067, 0.0981974075074264, 0.06140291655414529, 0.048069133135295705, 0.03851606805293006, 0.04523359438293276, 0.03760464488252768]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.022035,29622.0,0.0,NONCONFORMING,amount
United Kingdom,2011-07,amount_first,33428,"[0.3866818236209166, 0.16632762953212876, 0.10969845638386981, 0.10694627258585616, 0.06081727892784492, 0.04574009812133541, 0.034970683259542897, 0.04950939332296279, 0.03930836424554266]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.021264,33426.0,0.0,NONCONFORMING,amount
United Kingdom,2010-11,amount_first,68201,"[0.38143135731147637, 0.16551076963680886, 0.11991026524537764, 0.07463233676925558, 0.09376695356373074, 0.040688552953769004, 0.049222152167856775, 0.05023386753859914, 0.024603744813125907]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.021108,68199.0,0.0,NONCONFORMING,amount
United Kingdom,2011-06,amount_first,31473,"[0.3861722746481111, 0.1624567089251104, 0.10783846471578813, 0.10545546976773743, 0.0647539160550313, 0.04292568233088679, 0.040987513106472216, 0.04985225431322086, 0.03955771613764179]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.020819,31471.0,0.0,NONCONFORMING,amount
United Kingdom,2011-10,amount_first,51099,"[0.39000763224329243, 0.17657879801953072, 0.10683183623945675, 0.09824067007182137, 0.05690913716511086, 0.04097927552398286, 0.037554550969686296, 0.05176226540636803, 0.041135834360750696]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.020312,51097.0,0.0,NONCONFORMING,amount
United Kingdom,2011-11,amount_first,73347,"[0.3679359755681896, 0.1754809330988316, 0.10840252498398026, 0.11010675283242669, 0.05874814239164519, 0.04377820497089179, 0.039292677273780795, 0.05517608082130149, 0.04107870805895265]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.018695,73345.0,0.0,NONCONFORMING,amount
United Kingdom,2011-12,amount_first,22298,"[0.35926988967620416, 0.17535204951116692, 0.10835052471073639, 0.1187550452955422, 0.05543098035698269, 0.041079917481388464, 0.041438694053278324, 0.053233473854157325, 0.04708942506054355]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.018555,22296.0,0.0,NONCONFORMING,amount
United Kingdom,2010-12,amount_first,37903,"[0.3663034588291164, 0.1691422842519062, 0.11803815001451072, 0.08379283961691687, 0.09574440017940532, 0.04216025116745376, 0.04965306176292114, 0.05244967416827164, 0.022715880009497928]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.018474,37901.0,0.0,NONCONFORMING,amount
United Kingdom,2009-12,amount_first,40695,"[0.3661629192775525, 0.16058483843223983, 0.12492935250030716, 0.07165499447106524, 0.08711143875168939, 0.0618012040791252, 0.05369209976655609, 0.04899864848261457, 0.025064504238849983]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.016236,40693.0,0.0,NONCONFORMING,amount
United Kingdom,2011-01,amount_first,30101,"[0.3681605262283645, 0.15268595727716688, 0.12278661838477127, 0.09554499850503305, 0.08415002823826451, 0.04315471246802432, 0.04943357363542739, 0.05126075545662935, 0.032822829806318725]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.016046,30099.0,0.0,NONCONFORMING,amount
France,2011-09,quantity_first,1061,"[0.41658812441093307, 0.19321394910461828, 0.05372290292177191, 0.11969839773798303, 0.011310084825636193, 0.12535344015080113, 0.002827521206409048, 0.07728557964184732, 0.0]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.053335,1059.0012,0.0,NONCONFORMING,quantity
Germany,2011-10,quantity_first,1321,"[0.4420893262679788, 0.18925056775170326, 0.05147615442846329, 0.0991672975018925, 0.003028009084027252, 0.14307342922028765, 0.00757002271006813, 0.0582891748675246, 0.006056018168054504]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.053275,1319.001,0.0,NONCONFORMING,quantity
United Kingdom,2011-02,quantity_first,25107,"[0.4797466841916597, 0.21890309475445094, 0.07838451427888636, 0.07691082168319592, 0.0249332855378978, 0.0835225235989963, 0.008643007926076394, 0.022941809057235033, 0.0060142589716015455]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.052912,25105.0001,0.0,NONCONFORMING,quantity
United Kingdom,2010-02,quantity_first,26350,"[0.46573055028463, 0.22216318785578748, 0.08182163187855787, 0.07548387096774194, 0.027096774193548386, 0.09225806451612903, 0.006110056925996205, 0.02314990512333966, 0.006185958254269449]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.052463,26348.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-07,quantity_first,29948,"[0.46036463202885003, 0.2233204220649125, 0.08080673166822493, 0.07679978629624683, 0.025978362494991317, 0.09329504474422332, 0.007513022572458929, 0.02561105916922666, 0.0063109389608655]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051758,29946.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-06,quantity_first,32755,"[0.46972981224240573, 0.22970538849030683, 0.08001831781407419, 0.08264387116470767, 0.022958326972981224, 0.07724011601282248, 0.007693481911158602, 0.023782628606319647, 0.00622805678522363]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051691,32753.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-06,quantity_first,36354,"[0.4654783517632173, 0.2296033448863949, 0.08337459426748088, 0.07999119766738186, 0.024674038620234363, 0.08111899653408153, 0.006629256753039555, 0.021895802387632723, 0.007234417120536942]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051585,36352.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-04,quantity_first,27630,"[0.46800579080709376, 0.22616720955483172, 0.07712631197973217, 0.08454578356858487, 0.024647122692725298, 0.08197611292073832, 0.006985161056822294, 0.023525153818313427, 0.007021353601158162]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051574,27628.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-03,quantity_first,37942,"[0.4710347372305097, 0.21604027199409626, 0.08368035422486954, 0.07993779979969427, 0.025038216224764112, 0.0874229086500448, 0.007116124611248748, 0.023562279268356967, 0.0061673079964155815]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051207,37940.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-07,quantity_first,35581,"[0.4794693797251342, 0.22781821758803855, 0.08111070515162587, 0.0804923976279475, 0.026812062617689217, 0.0621961159045558, 0.010230179028132993, 0.025659762232652258, 0.006211180124223602]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051148,35579.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-09,quantity_first,37242,"[0.46517372858600503, 0.21134740346920144, 0.07990977928145641, 0.08229955426668815, 0.02507921164276892, 0.09760485473390258, 0.008216529724504592, 0.02319961333977767, 0.007169324955695183]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.051124,37240.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-08,quantity_first,30265,"[0.4628118288452007, 0.22488022468197588, 0.08428878242193953, 0.07738311581034198, 0.02597059309433339, 0.08504873616388568, 0.00812820089211961, 0.02359160746737155, 0.007896910622831654]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050816,30263.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-03,quantity_first,32966,"[0.46038342534732757, 0.2271127828671965, 0.08256992052417643, 0.083631620457441, 0.024297761329855002, 0.08523933749924165, 0.007613905235697385, 0.022902384274707276, 0.006248862464357217]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050815,32964.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-01,quantity_first,28683,"[0.46295715232018964, 0.2225011330753408, 0.08715964159955374, 0.0741205592162605, 0.026601122616183803, 0.08695045845971482, 0.009134330439633232, 0.02374228637171844, 0.0068333159014050135]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050742,28681.0,0.0,NONCONFORMING,quantity
United Kingdom,2009-12,quantity_first,42065,"[0.47738024485914654, 0.21564245810055865, 0.09062165695946749, 0.07633424462141923, 0.02303577796267681, 0.0779983359087127, 0.009437774872221562, 0.0209913229525734, 0.008558183763223582]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050434,42063.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-04,quantity_first,30869,"[0.45754640577926076, 0.2188279503709223, 0.08163529754770157, 0.08455084388869091, 0.023486345524636368, 0.09426933169198873, 0.006932521299685769, 0.025624412841361886, 0.007126891055751725]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.05035,30867.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-05,quantity_first,31195,"[0.4645936848853983, 0.22250360634717103, 0.08148741785542554, 0.08238499759576855, 0.02583747395415932, 0.08347491585189934, 0.006699791633274563, 0.027023561468184003, 0.005994550408719346]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.050334,31193.0,0.0,NONCONFORMING,quantity
Eire,2011-09,quantity_first,1211,"[0.37241948802642444, 0.1593724194880264, 0.058629232039636665, 0.14203137902559868, 0.002477291494632535, 0.17588769611891, 0.018166804293971925, 0.04706853839801817, 0.023947151114781174]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.0501,1209.0011,0.0,NONCONFORMING,quantity
United Kingdom,2010-12,quantity_first,39546,"[0.48437262934304354, 0.21443382390127952, 0.08683558387700399, 0.07621504071208213, 0.02682951499519547, 0.06971627977545138, 0.011126283315632429, 0.022859454812117534, 0.007611389268194002]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.049879,39544.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-05,quantity_first,33305,"[0.4638342591202522, 0.22366011109443026, 0.08199969974478306, 0.08686383425912025, 0.025281489265875996, 0.0793574538357604, 0.007986788770454887, 0.02507131061402192, 0.0059450532953010055]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.049508,33303.0,0.0,NONCONFORMING,quantity
Eire,2011-11,quantity_first,1097,"[0.3910665451230629, 0.211485870556062, 0.06198723792160438, 0.12215132178669097, 0.009115770282588878, 0.13855970829535097, 0.010938924339106655, 0.044667274384685506, 0.010027347310847767]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.049397,1095.0012,0.0,NONCONFORMING,quantity
United Kingdom,2011-08,quantity_first,30854,"[0.4632462565631685, 0.22745835223957997, 0.08413819926103584, 0.08676346664938095, 0.023173656576132753, 0.07477150450508849, 0.00813508783302003, 0.02583133467297595, 0.006482141699617553]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.049202,30852.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-10,quantity_first,52982,"[0.451077724510211, 0.2258314144426409, 0.08752028990978068, 0.08602921747008418, 0.027518779963006303, 0.08531199275225548, 0.007247744517005775, 0.022554829942244534, 0.00690800649277113]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.048478,52980.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-09,quantity_first,45131,"[0.45075447031973587, 0.23274467660809642, 0.0762447098446744, 0.09649686468281225, 0.02404112472579823, 0.07861558573929228, 0.007777359243092331, 0.02650063149498128, 0.006824577341516917]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.048455,45129.0,0.0,NONCONFORMING,quantity
Eire,2010-10,quantity_first,1467,"[0.34151329243353784, 0.2304021813224267, 0.08861622358554874, 0.13428766189502386, 0.0081799591002045, 0.152692569870484, 0.0034083162917518746, 0.03408316291751875, 0.006816632583503749]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.048426,1465.0009,0.0,NONCONFORMING,quantity
United Kingdom,2011-01,quantity_first,31438,"[0.4657420955531522, 0.2206565303136332, 0.09094089954831733, 0.07948978942680832, 0.02834149755073478, 0.07214199376550672, 0.012532603855207075, 0.021852535148546345, 0.008302054838094026]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.047661,31436.0,0.0,NONCONFORMING,quantity
United Kingdom,2010-11,quantity_first,71010,"[0.4617377834107872, 0.22005351358963526, 0.08898746655400648, 0.08495986480777355, 0.029784537389100127, 0.07427122940430925, 0.008759329671877201, 0.023869877482044784, 0.007576397690466132]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.04711,71008.0,0.0,NONCONFORMING,quantity
Germany,2011-11,quantity_first,1107,"[0.4037940379403794, 0.1951219512195122, 0.07678410117434507, 0.11291779584462511, 0.014453477868112014, 0.13279132791327913, 0.0036133694670280035, 0.05871725383920506, 0.0018066847335140017]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.046936,1105.0011,0.0,NONCONFORMING,quantity
United Kingdom,2011-11,quantity_first,77538,"[0.461128736877402, 0.2253346746111584, 0.09114240759369599, 0.08580309009775852, 0.029379143129820217, 0.06853413810002837, 0.01056256287239805, 0.0210348474296474, 0.007080399288091001]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.046873,77536.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-10,quantity_first,53555,"[0.4481747735972365, 0.22636541872841004, 0.08925403790495752, 0.09582672019419289, 0.025954626085332836, 0.07819998132760714, 0.009709644290915882, 0.019923443189244702, 0.006591354682102511]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.046372,53553.0,0.0,NONCONFORMING,quantity
United Kingdom,2011-12,quantity_first,23684,"[0.4659263637899004, 0.21926194899510218, 0.09234082080729607, 0.08617632156730282, 0.028035804762709, 0.06299611552102685, 0.011695659516973484, 0.025460226313122784, 0.008106738726566459]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.046237,23682.0001,0.0,NONCONFORMING,quantity
Eire,2010-11,quantity_first,1122,"[0.3850267379679144, 0.22549019607843138, 0.07397504456327986, 0.09714795008912656, 0.0213903743315508, 0.13279857397504458, 0.00980392156862745, 0.0481283422459893, 0.006238859180035651]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.04433,1120.0011,0.0,NONCONFORMING,quantity
France,2011-11,quantity_first,1567,"[0.37332482450542437, 0.20867900446713467, 0.0778557753669432, 0.10338225909380983, 0.03318442884492661, 0.1206126356094448, 0.008934269304403318, 0.06764518187619656, 0.006381620931716656]","[0.30103, 0.176091, 0.124939, 0.09691, 0.079181, 0.066947, 0.057992, 0.051153, 0.045757]",0.040336,1565.0008,0.0,NONCONFORMING,quantity
