country,year_month,txn_count,total_value,avg_value,min_value,max_value
EIRE,2010-05,809,19121.93,23.64,1.7,414.72
EIRE,2011-08,652,18353.75,28.15,1.25,510.0
Australia,2010-11,170,18245.52,107.33,5.04,876.0
Germany,2011-09,773,18091.22,23.4,0.85,237.6
EIRE,2011-05,609,18008.76,29.57,2.5,612.0
Germany,2010-09,690,17740.18,25.71,4.56,204.0
France,2011-01,660,17740.12,26.88,4.56,835.2
Sweden,2010-04,140,17698.12,126.42,8.5,874.84
France,2011-05,723,17614.88,24.36,1.69,255.0
Netherlands,2010-10,165,17265.85,104.64,5.04,739.2
Netherlands,2010-02,98,17255.39,176.08,0.55,1224.0
Australia,2011-03,108,17223.99,159.48,9.9,1074.0
Australia,2011-10,114,17150.53,150.44,5.04,963.0
Germany,2011-01,778,16910.84,21.74,0.85,525.6
Germany,2010-03,587,16698.08,28.45,1.25,367.2
France,2010-08,215,16570.32,77.07,2.1,1653.12
Germany,2011-07,755,16440.98,21.78,2.88,389.68
France,2011-06,590,16348.41,27.71,1.25,358.0
France,2010-12,702,15906.73,22.66,0.29,202.8
Germany,2010-06,599,15678.63,26.17,2.0,571.35
EIRE,2010-12,548,15316.04,27.95,5.76,230.4
France,2010-10,672,15211.77,22.64,0.42,453.6
Netherlands,2009-12,155,15204.73,98.1,0.42,1224.0
Australia,2011-02,89,14695.42,165.12,11.9,700.8
France,2011-03,545,14589.55,26.77,0.42,358.0
France,2010-09,548,14531.33,26.52,5.04,1055.75
Germany,2011-03,577,14392.69,24.94,2.34,350.4
Spain,2010-10,208,14088.5,67.73,0.84,950.4
France,2010-05,424,13958.15,32.92,2.0,630.0
Norway,2010-03,2,13916.34,6958.17,6958.17,6958.17
France,2011-08,569,13810.96,24.27,2.88,515.52
Australia,2011-05,116,13638.41,117.57,9.9,561.6
Switzerland,2010-11,228,13570.73,59.52,5.04,850.0
Germany,2011-06,653,13274.1,20.33,0.83,249.0
Germany,2010-01,553,12562.11,22.72,1.0,238.0
Germany,2011-04,440,12315.54,27.99,4.56,350.4
EIRE,2011-02,432,12248.74,28.35,0.42,356.4
Japan,2010-12,82,11819.55,144.14,5.04,3794.4
Netherlands,2011-12,86,11728.02,136.37,9.36,2577.6
France,2010-07,355,11546.64,32.53,0.42,3610.5
Germany,2009-12,386,10096.85,26.16,2.9,238.8
Spain,2011-01,382,10086.09,26.4,0.95,1220.4
France,2011-07,448,10000.19,22.32,4.56,237.6
Germany,2010-08,415,9943.12,23.96,2.1,175.2
Switzerland,2010-05,243,9825.16,40.43,5.04,187.5
Germany,2011-02,296,9581.05,32.37,5.04,390.0
Sweden,2010-10,200,9369.41,46.85,3.8,1188.0
France,2010-06,437,9172.54,20.99,5.04,202.8
Germany,2010-02,455,9124.25,20.05,0.55,126.0
Germany,2010-05,352,9108.36,25.88,4.32,598.8
France,2010-02,399,9024.16,22.62,3.75,234.0
Australia,2011-01,127,9017.71,71.01,8.5,1020.0
Netherlands,2010-12,74,8977.08,121.31,1.25,489.6
Spain,2011-11,304,8678.96,28.55,0.83,1350.0
Norway,2011-09,202,8678.94,42.97,2.88,270.0
France,2010-03,379,8657.59,22.84,0.95,237.6
Spain,2011-10,306,8636.94,28.23,1.14,417.5
Switzerland,2010-10,223,8629.69,38.7,4.75,244.8
France,2011-02,419,8515.96,20.32,5.04,108.0
France,2010-01,326,8465.63,25.97,2.28,354.45
Japan,2011-11,32,8460.08,264.38,20.8,3651.6
Switzerland,2011-09,192,8284.86,43.15,2.88,320.0
Singapore,2011-04,57,8209.58,144.03,2.34,2382.92
Sweden,2010-02,84,8202.58,97.65,12.6,305.28
Switzerland,2011-11,225,8118.96,36.08,2.0,237.6
Switzerland,2011-10,381,8065.18,21.17,0.85,360.0
Germany,2011-12,317,7984.17,25.19,4.68,700.8
Spain,2009-12,234,7950.18,33.98,5.04,732.24
Switzerland,2011-06,125,7904.15,63.23,5.04,300.0
Denmark,2010-01,40,7870.6,196.77,8.5,931.2
France,2010-04,248,7642.98,30.82,5.04,419.0
Spain,2011-07,179,7624.92,42.6,0.29,1350.0
Denmark,2010-03,25,7595.18,303.81,10.08,1296.0
Norway,2010-12,294,7574.24,25.76,5.04,101.76
EIRE,2011-04,306,7570.5,24.74,2.52,266.4
EIRE,2011-12,333,7340.89,22.04,4.56,175.2
France,2011-12,325,7294.92,22.45,4.68,171.84
Australia,2011-11,41,7242.72,176.65,9.36,1718.4
Singapore,2011-10,34,7067.32,207.86,6.72,3949.32
Netherlands,2010-04,183,6888.78,37.64,0.42,534.24
Sweden,2011-07,54,6802.09,125.96,11.7,475.2
Japan,2011-04,46,6548.5,142.36,15.3,429.6
Norway,2011-11,182,6527.5,35.87,6.64,320.0
France,2009-12,283,6521.69,23.04,3.95,138.24
Belgium,2011-11,243,6315.76,25.99,2.88,157.92
Portugal,2011-10,441,6206.67,14.07,0.29,339.02
Channel Islands,2010-09,200,6156.34,30.78,6.3,885.0
Spain,2010-11,81,6126.21,75.63,8.5,835.2
Finland,2011-03,214,5936.82,27.74,2.88,551.2
Norway,2011-06,166,5886.86,35.46,4.68,700.0
Japan,2011-02,85,5780.81,68.01,0.29,375.0
Sweden,2011-10,47,5766.16,122.68,6.96,475.2
Belgium,2011-10,264,5685.38,21.54,4.68,122.4
Netherlands,2010-07,179,5534.29,30.92,0.42,244.8
France,2011-04,226,5529.61,24.47,0.42,1136.3
Portugal,2010-11,220,5482.52,24.92,0.42,424.5
Channel Islands,2010-05,213,5378.52,25.25,6.3,152.64
Spain,2011-03,201,5363.15,26.68,6.6,224.0
Belgium,2010-11,221,5252.98,23.77,5.04,270.0
Italy,2010-10,241,5221.42,21.67,4.56,250.0
Spain,2011-09,242,5189.24,21.44,4.56,196.0
Australia,2011-09,102,5106.73,50.07,4.68,813.6
Switzerland,2011-08,267,4969.89,18.61,4.68,80.0
Australia,2011-07,159,4964.38,31.22,0.42,399.36
Channel Islands,2011-08,140,4896.78,34.98,5.04,358.0
Israel,2011-08,171,4873.81,28.5,2.88,135.0
Greece,2010-01,101,4798.35,47.51,5.04,229.5
Sweden,2011-03,35,4720.58,134.87,9.0,499.2
Norway,2010-11,134,4629.32,34.55,5.04,306.0
Sweden,2011-09,38,4575.21,120.4,8.4,792.0
Italy,2011-11,176,4571.08,25.97,2.88,300.0
Denmark,2011-09,46,4570.16,99.35,9.36,367.2
Cyprus,2011-10,163,4412.87,27.07,10.08,290.0
Channel Islands,2010-10,105,4341.19,41.34,10.08,330.0
Cyprus,2011-02,156,4334.24,27.78,4.25,320.69
Belgium,2011-06,230,4274.82,18.59,2.88,90.0
Switzerland,2011-01,160,4231.23,26.45,4.32,244.8
Belgium,2011-09,184,4208.02,22.87,5.04,165.0
Portugal,2011-05,80,4202.23,52.53,0.65,1241.98
Spain,2010-01,127,4181.24,32.92,1.25,975.11
Portugal,2010-12,196,4104.49,20.94,5.04,168.0
Denmark,2010-11,63,4059.96,64.44,4.32,302.4
Portugal,2011-01,118,4055.71,34.37,7.56,324.0
Switzerland,2011-07,178,3998.61,22.46,0.42,280.0
Denmark,2011-03,19,3978.99,209.42,39.0,428.4
